id	mantra
1	aṃśaṃ vivasvantaṃ brūmaḥ
2	aṃśaṃ na pratijānate
3	aṃśava stha madhumantaḥ
4	aṃśavaḥ sapta saptatīḥ
5	aṃśaś ca bhagaś ca
6	aṃśas te hastam agrabhīt
7	aṃśāṃ jānīdhvaṃ vi bhajāmi tān vaḥ
8	aṃśāya svāhā
9	aṃśuṃ rihanti matayaḥ panipnatam
10	aṃśuṃ somasyaitaṃ manye
11	aṃśuṃ gabhasti haritebhir āsabhiḥ
12	aṃśuṃ goṣv agastyam
13	aṃśunā te aṃśuḥ
14	aṃśunettham u ād v anyathā
15	aṃśuṃ dadhanvān madhuno vi rapśate
16	aṃśuṃ duhanti stanayantam akṣitam
17	aṃśuṃ duhanti hastino bharitraiḥ
18	aṃśuṃ duhanto adhy āsate gavi
19	aṃśuṃ duhanty adribhiḥ
20	aṃśuṃ duhanty ukṣaṇaṃ giriṣṭhām
21	aṃśumatīḥ kāṇḍinīr yā viśākhāḥ
22	aṃśur-aṃśuṣ ṭe deva somā pyāyatām
23	aṃśur ā pyāyatām ayam
24	aṃśur ivā pyāyatām ayam
25	aṃśur yavena pipiśe yato nṛbhiḥ
26	aṃśuś ca me raśmiś ca me
27	aṃśuś ca raśmiś ca
28	aṃśuś cāsya punar āpīno astu
29	aṃśūn iva grāvādhiṣavaṇe adriḥ
30	aṃśūn gṛbhītvānv ā rabhethām
31	aṃśūn babhasti haritebhir āsabhiḥ
32	aṃśeva devāv arvate
33	aṃśeva no bhajatāṃ citram apnaḥ
34	aṃśoḥ payasā madiro na jāgṛviḥ
35	aṃśoḥ pibanti manasāvivenam
36	aṃśoḥ pīyūṣam apibo giriṣṭhām
37	aṃśoḥ pīyūṣaṃ prathamaṃ tad ukthyam
38	aṃśoḥ pīyūṣaṃ prathamasya bhejire
39	aṃśo dhanaṃ na jigyuṣaḥ
40	aṃśo bhago varuṇo mitro aryamā
41	aṃśo rājā vibhajati
42	aṃśor ūrmim īraya gā iṣaṇyan
43	aṃśoḥ sutaṃ pāyaya matsarasya
44	aṃsa ādhāya bibhrati
45	aṃsatraṃ somyānām
46	aṃsatrakośaṃ siñcatā nṛpāṇam
47	aṃsadhrīṃ śuddhām upa dhehi nāri
48	aṃsābhyāṃ svāhā
49	aṃsābhyāṃ te dorbhyām
50	aṃsūn pāṃsyūṃś ca keśyān
51	aṃseṣu va ṛṣṭayaḥ patsu khādayaḥ
52	aṃseṣv ā marutaḥ khādayo vaḥ
53	aṃseṣv ā vaḥ prapatheṣu khādayaḥ
54	aṃseṣv etāḥ paviṣu kṣurā adhi
55	aṃseṣv eṣāṃ ni mimṛkṣur ṛṣṭayaḥ
56	aṃsau ko asya tad devaḥ
57	aṃsau grīvāś ca śroṇyau
58	aṃhasaspataye tvā
59	aṃhaso grāhyāś ca
60	aṃhaso yatra pīparad yathā naḥ
61	aṃhaspatyāya tvā
62	aṃhārir asi bambhāriḥ
63	aṃhomucaḥ pitaraḥ somyāsaḥ
64	aṃhomucaṃ vṛṣabhaṃ yajñiyānām
65	aṃhomucaṃ sukṛtaṃ daivyaṃ janam
66	aṃhomucam āṅgirasaṃ gayaṃ ca
67	aṃhomucaḥ svāhākṛtāḥ pṛthivīm ā viśata
68	aṃhomucā vṛṣabhā supratūrtī
69	aṃhomuce pra bharemā manīṣām
70	aṃhoyuvas tanvas tanvate vi
71	aṃho rājan varivaḥ pūrave kaḥ
72	aṃhoś cid asmā urucakrir adbhutaḥ
73	aṃhoś cid urucakrayaḥ
74	aṃhoś cid urucakrayo'nehasaḥ
75	aṃhoś cid yā varivovittarāsat
76	akarat sūryavarcasam
77	akaraṃ pūruṣu priyam
78	akar jyotir ṛtāvarī
79	akar jyotir bādhamānā tamāṃsi
80	akarṇakāya svāhā
81	akartaḥ punar ā kṛdhi
82	akarta caturaḥ punaḥ
83	akartām aśvinā lakṣma
84	akar dhanvāny atyetavā u
85	akarma te svapaso abhūma
86	akarma vayaṃ tad yad asmākaṃ karma hotāraṃ pṛchata
87	akarma vayaṃ tad yad asmākaṃ karmāgāsiṣma yad atra geyam
88	akarma vayaṃ tad yad asmākaṃ karmodgātāraṃ pṛchata
89	akarmāgnim adhipām asya devam
90	akarmā dasyur abhi no amantuḥ
91	akalpa indraḥ pratimānam ojasā
92	akalpayathāḥ pradiśaś catasraḥ
93	akavāriṃ divyaṃ śāsam indram
94	akavārī cetati vājinīvatī
95	akaś cakāra kṛṇavac ca yān
96	akaḥ su lokaṃ sukṛtaṃ pṛthivyāḥ
97	akāmā viśve vo devāḥ
98	akāmā vo dakṣiṇāṃ na nīnima
99	akāmo dhīro amṛtaḥ svayaṃbhūḥ
100	akāri cāru ketunā
101	akāri ta indra gotamebhiḥ
102	akāri te harivo brahma navyam
103	akāri brahma samidhāna tubhyam
104	akāri ratnadhātamaḥ
105	akāri vām andhaso varīman
