text	position	sen.id	word.position	word	lemma	lemma.id	pos	case	number	gender	tense	mood	verb.form	person	voice	formation	head.position	label	sublabel	word.semantics	register	time.slot	veda	sakha	group	is.mantra	syntax.status	head.pos	head.word	head.label	citation	sentence
Pāraskaragṛhyasūtra	196	421846_1	5	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	6	case	_	_	prose	5-SU	White YV	Mādhyandina	GS	FALSE	gold	NOUN	sūryaḥ	obl	PārGS, 1, 3, 8	varṣmaḥ asmi samānānām udyatām iva sūryaḥ imam tam abhitiṣṭhāmi yaḥ mā kaḥ ca abhidāsati iti enam abhyupaviśati pādayoḥ anyam
Hiraṇyakeśigṛhyasūtra	4535	423260_1	7	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	6	discourse	_	_	prose	5-SU	Black YV	Taittirīya	GS	FALSE	gold	ADV	abhi	case	HirGS, 1, 20, 1	yadi kāmayeta ubhayam janayeyam iti abhi iva lomāni aṅguṣṭham saha aṅgulibhiḥ gṛhṇīyāt
Āpastambagṛhyasūtra	293	428650_3	2	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	1	discourse	_	_	prose	5-SU	Black YV	Taittirīya	GS	FALSE	gold	PART	na	advmod	ĀpGS, 3, 3	na iva tu punar āgacchati iti brāhmaṇa avekṣaḥ vidhiḥ
Āpastambagṛhyasūtra	537	428681_1	3	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	2	discourse	_	_	prose	5-SU	Black YV	Taittirīya	GS	FALSE	gold	ADV	abhi	orphan	ĀpGS, 4, 13	saḥ abhi iva aṅguṣṭham abhi iva lomāni gṛhṇāti gṛbhṇāmi _ iti etābhiḥ catasṛbhiḥ
Āpastambagṛhyasūtra	540	428681_1	6	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	5	discourse	_	_	prose	5-SU	Black YV	Taittirīya	GS	FALSE	gold	ADV	abhi	advmod	ĀpGS, 4, 13	saḥ abhi iva aṅguṣṭham abhi iva lomāni gṛhṇāti gṛbhṇāmi _ iti etābhiḥ catasṛbhiḥ
Āśvalāyanagṛhyasūtra	726	429067_1	15	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	14	case	sim	_	prose	5-SU	RV	Āśvalāyana	GS	FALSE	gold	NOUN	srucā	advcl	ĀśvGS, 1, 7, 13	saḥ imām devaḥ pūṣā pretaḥ muñcātu na amutas svāhā iti a vicchindatī añjalim srucā iva juhuyāt
Kāṭhakagṛhyasūtra	79	465168_1	4	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	3	case	sim	_	prose	5-SU	Black YV	Kaṭha	GS	FALSE	gold	NOUN	daṇḍaḥ	advcl	KāṭhGS, 1, 23	yadi snāyāt daṇḍaḥ iva apsu pariplavet
Chāndogyopaniṣad	4032	468110_1	9	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	8	discourse	_	_	prose	4-PL	SV	Kauthuma	U	FALSE	gold	VERB	kṣobhate	acl	ChU, 3, 5, 3	tat vai etat yat etat ādityasya madhye kṣobhate iva
Chāndogyopaniṣad	4902	468231_1	9	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	8	discourse	_	_	prose	4-PL	SV	Kauthuma	U	FALSE	gold	NOUN	ninadam	obj	ChU, 3, 13, 8	tasya eṣā śrutiḥ yatra etat karṇau apigṛhya ninadam iva nadathuḥ iva agneḥ iva jvalataḥ upaśṛṇoti
Chāndogyopaniṣad	4904	468231_1	11	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	10	discourse	_	_	prose	4-PL	SV	Kauthuma	U	FALSE	gold	NOUN	nadathuḥ	dislocated	ChU, 3, 13, 8	tasya eṣā śrutiḥ yatra etat karṇau apigṛhya ninadam iva nadathuḥ iva agneḥ iva jvalataḥ upaśṛṇoti
Chāndogyopaniṣad	4906	468231_1	13	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	12	discourse	_	_	prose	4-PL	SV	Kauthuma	U	FALSE	gold	NOUN	agneḥ	nmod	ChU, 3, 13, 8	tasya eṣā śrutiḥ yatra etat karṇau apigṛhya ninadam iva nadathuḥ iva agneḥ iva jvalataḥ upaśṛṇoti
Chāndogyopaniṣad	9837	469000_1	16	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	15	case	sim	_	prose	4-PL	SV	Kauthuma	U	FALSE	gold	NOUN	brahmabandhuḥ	obl	ChU, 6, 1, 1	tam ha pitā uvāca śvetaketo vasa brahmacaryam na vai somya asmad kulīnaḥ an anūcya brahmabandhuḥ iva bhavati iti
Śvetāśvataropaniṣad	302	469850_1	4	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	3	mark	sim	132728	metrical	5-SU	Black YV	None	U	FALSE	gold	NOUN	dadhan	orphan	ŚvetU, 1, 15	tileṣu tailam dadhan iva sarpiḥ āpaḥ _ _ ca agniḥ evam ātmā ātmani gṛhyate asau satyena enam tapasā yaḥ anupaśyati sarva vyāpinam ātmānam kṣīre sarpiḥ iva arpitam
Śvetāśvataropaniṣad	324	469850_1	26	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	25	mark	sim	132728	metrical	5-SU	Black YV	None	U	FALSE	gold	NOUN	sarpiḥ	orphan	ŚvetU, 1, 15	tileṣu tailam dadhan iva sarpiḥ āpaḥ _ _ ca agniḥ evam ātmā ātmani gṛhyate asau satyena enam tapasā yaḥ anupaśyati sarva vyāpinam ātmānam kṣīre sarpiḥ iva arpitam
Śvetāśvataropaniṣad	459	469870_1	4	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	5	case	sim	_	metrical	5-SU	Black YV	None	U	FALSE	gold	NOUN	vāham	advcl	ŚvetU, 2, 9	duṣṭa aśva yuktam iva vāham enam vidvān manaḥ dhārayeta a pramattaḥ
Śvetāśvataropaniṣad	785	469904_1	15	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	14	case	sim	_	metrical	5-SU	Black YV	None	U	FALSE	gold	NOUN	vṛkṣaḥ	obl	ŚvetU, 3, 9	yasmāt param na aparam asti kiṃcid yasmāt na aṇīyaḥ na jyāyaḥ asti kiṃcid vṛkṣaḥ iva stabdhaḥ divi tiṣṭhati ekaḥ
Śvetāśvataropaniṣad	1277	469960_1	4	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	3	case	sim	_	metrical	5-SU	Black YV	None	U	FALSE	gold	NOUN	maṇḍam	obl	ŚvetU, 4, 16	ghṛtāt param maṇḍam iva ati sūkṣmam jñātvā śivam sarva bhūteṣu gūḍham viśvasya ekam _ jñātvā devam mucyate sarva pāśaiḥ
Śvetāśvataropaniṣad	1894	470020_1	4	iva	iva	63807	PART	Ind	_	_	_	_	_	_	_	_	3	case	sim	_	metrical	5-SU	Black YV	None	U	FALSE	gold	NOUN	ūrṇanābhaḥ	obl	ŚvetU, 6, 10	yaḥ tu ūrṇanābhaḥ iva tantubhiḥ pradhāna jaiḥ svabhāvataḥ devaḥ ekaḥ svam āvṛṇot saḥ _ dadhāt brahma apyayam
